Student_ID,Name,Age,Marks,Department,Email
115,Student_115,19,46,BIT,student115@example.com
116,Student_116,28,73,BSc CSIT,student116@example.com
117,Student_117,24,73,BSc CSIT,student117@example.com
118,Student_118,,69,BIT,student118@example.com
119,Student_119,18,43,MIT-AI,student119@example.com
120,Student_120,19,80,BSc CSIT,student120@example.com
121,Student_121,27,69,BIT,student121@example.com
122,Student_122,26,64,MIT-AI,student122@example.com
123,Student_123,,53,BIT,student123@example.com
124,Student_124,,63,MIT-AI,student124@example.com
125,Student_125,,82,MIT-AI,student125@example.com
126,Student_126,,70,BSc CSIT,student126@example.com
127,Student_127,18,92,BCA,student127@example.com
128,Student_128,19,78,BSc CSIT,student128@example.com
129,Student_129,,67,BIT,student129@example.com
130,Student_130,20,64,MIT-AI,student130@example.com
131,Student_131,,,BSc CSIT,student131@example.com
132,Student_132,,43,MIT-AI,student132@example.com
133,Student_133,,73,BSc CSIT,student133@example.com
134,Student_134,,71,BIT,student134@example.com
135,Student_135,29,64,BIT,student135@example.com
136,Student_136,,,BIT,student136@example.com
137,Student_137,26,61,BSc CSIT,student137@example.com
138,Student_138,28,92,BCA,student138@example.com
139,Student_139,,,BIT,student139@example.com
140,Student_140,18,94,BSc CSIT,student140@example.com
141,Student_141,27,90,BCA,student141@example.com
142,Student_142,,92,BSc CSIT,student142@example.com
143,Student_143,18,57,BSc CSIT,student143@example.com
144,Student_144,,92,BIT,student144@example.com
145,Student_145,,46,BCA,student145@example.com
146,Student_146,,50,BSc CSIT,student146@example.com
147,Student_147,19,,BSc CSIT,student147@example.com
148,Student_148,21,50,BSc CSIT,student148@example.com
149,Student_149,,94,BSc CSIT,student149@example.com
150,Student_150,,48,BIT,student150@example.com
151,Student_151,25,,BSc CSIT,student151@example.com
152,Student_152,,95,BCA,student152@example.com
153,Student_153,,,MIT-AI,student153@example.com
154,Student_154,23,62,BCA,student154@example.com
155,Student_155,21,,BSc CSIT,student155@example.com
156,Student_156,,40,BSc CSIT,student156@example.com
157,Student_157,21,59,BCA,student157@example.com
158,Student_158,24,44,MIT-AI,student158@example.com
159,Student_159,,68,BIT,student159@example.com
160,Student_160,20,65,MIT-AI,student160@example.com
161,Student_161,,90,MIT-AI,student161@example.com
162,Student_162,19,77,MIT-AI,student162@example.com
163,Student_163,18,42,BCA,student163@example.com
164,Student_164,18,60,MIT-AI,student164@example.com
165,Student_165,,98,BIT,student165@example.com
166,Student_166,24,52,BSc CSIT,student166@example.com
167,Student_167,,70,BCA,student167@example.com
168,Student_168,,56,BCA,student168@example.com
169,Student_169,,74,MIT-AI,student169@example.com
170,Student_170,24,62,BSc CSIT,student170@example.com
171,Student_171,18,42,BSc CSIT,student171@example.com
172,Student_172,,92,BSc CSIT,student172@example.com
173,Student_173,23,94,BCA,student173@example.com
174,Student_174,,84,BIT,student174@example.com
175,Student_175,22,41,BSc CSIT,student175@example.com
176,Student_176,,42,BCA,student176@example.com
177,Student_177,29,59,MIT-AI,student177@example.com
178,Student_178,,,BSc CSIT,student178@example.com
179,Student_179,19,92,MIT-AI,student179@example.com
180,Student_180,,,BSc CSIT,student180@example.com
181,Student_181,,96,MIT-AI,student181@example.com
182,Student_182,,48,BCA,student182@example.com
183,Student_183,25,87,MIT-AI,student183@example.com
184,Student_184,28,43,BCA,student184@example.com
185,Student_185,,64,MIT-AI,student185@example.com
186,Student_186,19,91,MIT-AI,student186@example.com
187,Student_187,25,89,MIT-AI,student187@example.com
188,Student_188,23,97,BSc CSIT,student188@example.com
189,Student_189,26,40,BIT,student189@example.com
190,Student_190,,78,BIT,student190@example.com
191,Student_191,,91,BSc CSIT,student191@example.com
192,Student_192,19,51,MIT-AI,student192@example.com
193,Student_193,25,79,MIT-AI,student193@example.com
194,Student_194,26,79,BSc CSIT,student194@example.com
195,Student_195,,99,BCA,student195@example.com
196,Student_196,,63,BCA,student196@example.com
197,Student_197,26,93,BSc CSIT,student197@example.com
198,Student_198,21,48,BIT,student198@example.com
199,Student_199,29,85,BCA,student199@example.com
200,Student_200,21,59,BSc CSIT,student200@example.com
201,Student_201,26,44,BCA,student201@example.com
202,Student_202,,59,BSc CSIT,student202@example.com
203,Student_203,,60,BCA,student203@example.com
204,Student_204,25,41,BCA,student204@example.com
205,Student_205,25,60,BSc CSIT,student205@example.com
206,Student_206,,81,BIT,student206@example.com
207,Student_207,,63,BIT,student207@example.com
208,Student_208,23,48,BCA,student208@example.com
209,Student_209,,78,BCA,student209@example.com
210,Student_210,,94,BIT,student210@example.com
211,Student_211,22,69,BSc CSIT,student211@example.com
212,Student_212,29,93,MIT-AI,student212@example.com
213,Student_213,21,57,BCA,student213@example.com
214,Student_214,,97,MIT-AI,student214@example.com
215,Student_215,19,83,BCA,student215@example.com
216,Student_216,,82,BIT,student216@example.com
217,Student_217,,49,BSc CSIT,student217@example.com
218,Student_218,26,,BCA,student218@example.com
219,Student_219,21,80,MIT-AI,student219@example.com
220,Student_220,21,87,BIT,student220@example.com
221,Student_221,22,,BCA,student221@example.com
222,Student_222,19,61,BSc CSIT,student222@example.com
223,Student_223,,,BCA,student223@example.com
224,Student_224,,44,BSc CSIT,student224@example.com
225,Student_225,,,BSc CSIT,student225@example.com
226,Student_226,,,BIT,student226@example.com
227,Student_227,25,82,BCA,student227@example.com
228,Student_228,,41,BSc CSIT,student228@example.com
229,Student_229,29,46,BIT,student229@example.com
230,Student_230,22,85,BCA,student230@example.com
231,Student_231,29,43,BSc CSIT,student231@example.com
232,Student_232,23,76,BIT,student232@example.com
233,Student_233,20,58,BCA,student233@example.com
234,Student_234,18,92,BSc CSIT,student234@example.com
235,Student_235,,67,BIT,student235@example.com
236,Student_236,26,59,BIT,student236@example.com
237,Student_237,,99,BCA,student237@example.com
238,Student_238,,69,BIT,student238@example.com
239,Student_239,24,81,BCA,student239@example.com
240,Student_240,,77,BCA,student240@example.com
241,Student_241,29,41,BSc CSIT,student241@example.com
242,Student_242,20,42,BCA,student242@example.com
243,Student_243,23,99,BIT,student243@example.com
244,Student_244,,86,BCA,student244@example.com
245,Student_245,,81,BSc CSIT,student245@example.com
246,Student_246,18,88,BIT,student246@example.com
247,Student_247,,78,BSc CSIT,student247@example.com
248,Student_248,18,64,MIT-AI,student248@example.com
249,Student_249,19,41,BSc CSIT,student249@example.com
250,Student_250,25,78,MIT-AI,student250@example.com
251,Student_251,,54,MIT-AI,student251@example.com
252,Student_252,,42,BCA,student252@example.com
253,Student_253,19,44,BIT,student253@example.com
254,Student_254,,93,BCA,student254@example.com
255,Student_255,,79,BIT,student255@example.com
256,Student_256,26,75,BSc CSIT,student256@example.com
257,Student_257,23,89,MIT-AI,student257@example.com
258,Student_258,20,90,MIT-AI,student258@example.com
259,Student_259,22,79,MIT-AI,student259@example.com
260,Student_260,,94,BSc CSIT,student260@example.com
261,Student_261,24,77,BSc CSIT,student261@example.com
262,Student_262,27,76,BCA,student262@example.com
263,Student_263,,66,BCA,student263@example.com
264,Student_264,25,44,BIT,student264@example.com
265,Student_265,23,56,BIT,student265@example.com
266,Student_266,25,77,MIT-AI,student266@example.com
267,Student_267,19,84,BSc CSIT,student267@example.com
268,Student_268,20,80,BSc CSIT,student268@example.com
269,Student_269,,,BCA,student269@example.com
270,Student_270,,51,BCA,student270@example.com
271,Student_271,29,81,BIT,student271@example.com
272,Student_272,18,70,BIT,student272@example.com
273,Student_273,24,72,BCA,student273@example.com
274,Student_274,23,82,BCA,student274@example.com
275,Student_275,25,68,BSc CSIT,student275@example.com
276,Student_276,24,77,BIT,student276@example.com
277,Student_277,21,42,BCA,student277@example.com
278,Student_278,20,77,BCA,student278@example.com
279,Student_279,20,80,MIT-AI,student279@example.com
280,Student_280,21,93,BCA,student280@example.com
281,Student_281,26,,BCA,student281@example.com
282,Student_282,,69,BSc CSIT,student282@example.com
283,Student_283,,86,BCA,student283@example.com
284,Student_284,,61,BIT,student284@example.com
285,Student_285,18,,MIT-AI,student285@example.com
286,Student_286,,71,BSc CSIT,student286@example.com
287,Student_287,,94,BIT,student287@example.com
288,Student_288,25,82,MIT-AI,student288@example.com
289,Student_289,,49,MIT-AI,student289@example.com
290,Student_290,22,71,BCA,student290@example.com
291,Student_291,,82,MIT-AI,student291@example.com
292,Student_292,,43,MIT-AI,student292@example.com
293,Student_293,22,68,BCA,student293@example.com
294,Student_294,,84,BSc CSIT,student294@example.com
295,Student_295,,47,BCA,student295@example.com
296,Student_296,28,59,BSc CSIT,student296@example.com
297,Student_297,20,86,MIT-AI,student297@example.com
298,Student_298,,46,BIT,student298@example.com
299,Student_299,20,40,BSc CSIT,student299@example.com
300,Student_300,,99,BSc CSIT,student300@example.com
301,Student_301,,64,BSc CSIT,student301@example.com
302,Student_302,28,65,BSc CSIT,student302@example.com
303,Student_303,20,,MIT-AI,student303@example.com
304,Student_304,25,,BIT,student304@example.com
305,Student_305,21,79,BSc CSIT,student305@example.com
306,Student_306,20,41,BIT,student306@example.com
307,Student_307,27,65,MIT-AI,student307@example.com
308,Student_308,,53,BSc CSIT,student308@example.com
309,Student_309,21,83,BIT,student309@example.com
310,Student_310,,70,BSc CSIT,student310@example.com
311,Student_311,,65,BSc CSIT,student311@example.com
312,Student_312,,94,MIT-AI,student312@example.com
313,Student_313,,88,BSc CSIT,student313@example.com
314,Student_314,25,,BIT,student314@example.com
315,Student_315,22,,BIT,student315@example.com
316,Student_316,21,92,MIT-AI,student316@example.com
317,Student_317,,44,BCA,student317@example.com
318,Student_318,,96,BCA,student318@example.com
319,Student_319,,45,MIT-AI,student319@example.com
320,Student_320,,74,MIT-AI,student320@example.com
321,Student_321,24,55,BCA,student321@example.com
322,Student_322,19,,BCA,student322@example.com
323,Student_323,24,57,BIT,student323@example.com
324,Student_324,,53,BIT,student324@example.com
325,Student_325,22,64,BIT,student325@example.com
326,Student_326,21,54,BCA,student326@example.com
327,Student_327,18,65,MIT-AI,student327@example.com
328,Student_328,19,75,BSc CSIT,student328@example.com
329,Student_329,,50,BIT,student329@example.com
330,Student_330,,76,BSc CSIT,student330@example.com
331,Student_331,,80,MIT-AI,student331@example.com
332,Student_332,22,76,BCA,student332@example.com
333,Student_333,,46,BIT,student333@example.com
334,Student_334,,57,BCA,student334@example.com
335,Student_335,,89,MIT-AI,student335@example.com
336,Student_336,,59,BIT,student336@example.com
337,Student_337,19,95,MIT-AI,student337@example.com
338,Student_338,26,41,MIT-AI,student338@example.com
339,Student_339,,65,BIT,student339@example.com
340,Student_340,,62,BSc CSIT,student340@example.com
341,Student_341,19,71,BIT,student341@example.com
342,Student_342,,52,BCA,student342@example.com
343,Student_343,,52,BSc CSIT,student343@example.com
344,Student_344,,56,BIT,student344@example.com
345,Student_345,,,BIT,student345@example.com
346,Student_346,22,97,BIT,student346@example.com
347,Student_347,22,61,BIT,student347@example.com
348,Student_348,,66,BIT,student348@example.com
349,Student_349,,56,BCA,student349@example.com
350,Student_350,28,65,MIT-AI,student350@example.com
351,Student_351,20,77,BCA,student351@example.com
352,Student_352,23,53,MIT-AI,student352@example.com
353,Student_353,29,92,BIT,student353@example.com
354,Student_354,,53,BCA,student354@example.com
355,Student_355,,51,MIT-AI,student355@example.com
356,Student_356,19,44,MIT-AI,student356@example.com
357,Student_357,,,BIT,student357@example.com
358,Student_358,18,43,BIT,student358@example.com
359,Student_359,26,94,BSc CSIT,student359@example.com
360,Student_360,28,68,BSc CSIT,student360@example.com
361,Student_361,,64,MIT-AI,student361@example.com
362,Student_362,29,84,BSc CSIT,student362@example.com
363,Student_363,,43,BCA,student363@example.com
364,Student_364,29,89,MIT-AI,student364@example.com
365,Student_365,28,55,BCA,student365@example.com
366,Student_366,,89,BSc CSIT,student366@example.com
367,Student_367,20,,BCA,student367@example.com
368,Student_368,23,62,MIT-AI,student368@example.com
369,Student_369,,43,BCA,student369@example.com
370,Student_370,,,MIT-AI,student370@example.com
371,Student_371,,56,BSc CSIT,student371@example.com
372,Student_372,,91,MIT-AI,student372@example.com
373,Student_373,,,BSc CSIT,student373@example.com
374,Student_374,28,57,BIT,student374@example.com
375,Student_375,,,BSc CSIT,student375@example.com
376,Student_376,,98,MIT-AI,student376@example.com
377,Student_377,19,78,MIT-AI,student377@example.com
378,Student_378,,84,BIT,student378@example.com
379,Student_379,18,80,BIT,student379@example.com
380,Student_380,,,BSc CSIT,student380@example.com
381,Student_381,,,BCA,student381@example.com
382,Student_382,29,,BCA,student382@example.com
383,Student_383,27,93,BIT,student383@example.com
384,Student_384,19,63,BSc CSIT,student384@example.com
385,Student_385,29,57,BIT,student385@example.com
386,Student_386,26,69,BIT,student386@example.com
387,Student_387,,98,MIT-AI,student387@example.com
388,Student_388,,40,MIT-AI,student388@example.com
389,Student_389,25,62,MIT-AI,student389@example.com
390,Student_390,23,68,BIT,student390@example.com
391,Student_391,28,,BSc CSIT,student391@example.com
392,Student_392,,80,BCA,student392@example.com
393,Student_393,,71,BCA,student393@example.com
394,Student_394,18,41,MIT-AI,student394@example.com
395,Student_395,,87,BSc CSIT,student395@example.com
396,Student_396,24,75,MIT-AI,student396@example.com
397,Student_397,18,,BSc CSIT,student397@example.com
398,Student_398,,56,BSc CSIT,student398@example.com
399,Student_399,28,82,BSc CSIT,student399@example.com
400,Student_400,23,,BIT,student400@example.com
401,Student_401,,41,BSc CSIT,student401@example.com
402,Student_402,20,43,BIT,student402@example.com
403,Student_403,29,83,BCA,student403@example.com
404,Student_404,22,73,BCA,student404@example.com
405,Student_405,,40,BIT,student405@example.com
406,Student_406,27,62,BCA,student406@example.com
407,Student_407,,45,BCA,student407@example.com
408,Student_408,,55,MIT-AI,student408@example.com
409,Student_409,29,41,BIT,student409@example.com
410,Student_410,,85,BIT,student410@example.com
411,Student_411,,,BIT,student411@example.com
412,Student_412,20,51,MIT-AI,student412@example.com
413,Student_413,22,66,BIT,student413@example.com
414,Student_414,27,58,BCA,student414@example.com
415,Student_415,22,67,BSc CSIT,student415@example.com
416,Student_416,,74,MIT-AI,student416@example.com
417,Student_417,,,MIT-AI,student417@example.com
418,Student_418,,,BIT,student418@example.com
419,Student_419,27,,BSc CSIT,student419@example.com
420,Student_420,28,88,BSc CSIT,student420@example.com
421,Student_421,21,,BSc CSIT,student421@example.com
422,Student_422,18,46,BCA,student422@example.com
423,Student_423,,76,BSc CSIT,student423@example.com
424,Student_424,22,90,BIT,student424@example.com
425,Student_425,,64,BCA,student425@example.com
426,Student_426,23,92,BSc CSIT,student426@example.com
427,Student_427,,97,BIT,student427@example.com
428,Student_428,27,90,BCA,student428@example.com
429,Student_429,,,BCA,student429@example.com
430,Student_430,,56,BSc CSIT,student430@example.com
431,Student_431,,80,BCA,student431@example.com
432,Student_432,27,53,MIT-AI,student432@example.com
433,Student_433,21,76,BIT,student433@example.com
434,Student_434,,93,BSc CSIT,student434@example.com
435,Student_435,,41,BIT,student435@example.com
436,Student_436,26,63,BIT,student436@example.com
437,Student_437,,54,MIT-AI,student437@example.com
438,Student_438,22,87,BCA,student438@example.com
439,Student_439,23,90,MIT-AI,student439@example.com
440,Student_440,,72,MIT-AI,student440@example.com
441,Student_441,,94,BCA,student441@example.com
442,Student_442,23,,BSc CSIT,student442@example.com
443,Student_443,,58,BIT,student443@example.com
444,Student_444,,91,BSc CSIT,student444@example.com
445,Student_445,23,86,BSc CSIT,student445@example.com
446,Student_446,28,44,MIT-AI,student446@example.com
447,Student_447,29,,BCA,student447@example.com
448,Student_448,23,82,BCA,student448@example.com
449,Student_449,,,BIT,student449@example.com
450,Student_450,,48,BCA,student450@example.com
451,Student_451,20,78,BSc CSIT,student451@example.com
452,Student_452,24,73,BCA,student452@example.com
453,Student_453,,68,BCA,student453@example.com
454,Student_454,18,88,BSc CSIT,student454@example.com
455,Student_455,,87,BIT,student455@example.com
456,Student_456,29,87,BIT,student456@example.com
457,Student_457,,85,BSc CSIT,student457@example.com
458,Student_458,,,BCA,student458@example.com
459,Student_459,,,BCA,student459@example.com
460,Student_460,,58,BIT,student460@example.com
461,Student_461,,67,BIT,student461@example.com
462,Student_462,20,74,BIT,student462@example.com
463,Student_463,23,79,MIT-AI,student463@example.com
464,Student_464,27,92,BIT,student464@example.com
465,Student_465,19,96,BCA,student465@example.com
466,Student_466,,90,BIT,student466@example.com
467,Student_467,,87,BCA,student467@example.com
468,Student_468,20,61,BCA,student468@example.com
469,Student_469,,43,BCA,student469@example.com
470,Student_470,27,,BIT,student470@example.com
471,Student_471,,99,BIT,student471@example.com
472,Student_472,29,,BSc CSIT,student472@example.com
473,Student_473,,75,BIT,student473@example.com
474,Student_474,26,46,BIT,student474@example.com
475,Student_475,18,64,BIT,student475@example.com
476,Student_476,22,68,MIT-AI,student476@example.com
477,Student_477,,40,BIT,student477@example.com
478,Student_478,22,95,MIT-AI,student478@example.com
479,Student_479,25,57,BCA,student479@example.com
480,Student_480,25,43,BCA,student480@example.com
481,Student_481,28,59,BCA,student481@example.com
482,Student_482,25,85,BCA,student482@example.com
483,Student_483,,47,MIT-AI,student483@example.com
484,Student_484,25,66,MIT-AI,student484@example.com
485,Student_485,29,89,BCA,student485@example.com
486,Student_486,22,78,BIT,student486@example.com
487,Student_487,,74,BCA,student487@example.com
488,Student_488,,64,BCA,student488@example.com
489,Student_489,23,92,MIT-AI,student489@example.com
490,Student_490,22,53,BCA,student490@example.com
491,Student_491,,83,MIT-AI,student491@example.com
492,Student_492,18,86,BSc CSIT,student492@example.com
493,Student_493,,79,MIT-AI,student493@example.com
494,Student_494,,,BCA,student494@example.com
495,Student_495,,44,BIT,student495@example.com
496,Student_496,,56,MIT-AI,student496@example.com
497,Student_497,27,96,MIT-AI,student497@example.com
498,Student_498,,49,MIT-AI,student498@example.com
499,Student_499,18,82,BCA,student499@example.com
500,Student_500,26,99,BCA,student500@example.com
501,Student_501,21,,MIT-AI,student501@example.com
502,Student_502,22,,BIT,student502@example.com
503,Student_503,,87,BCA,student503@example.com
504,Student_504,29,43,BIT,student504@example.com
505,Student_505,27,94,BSc CSIT,student505@example.com
506,Student_506,,44,BIT,student506@example.com
507,Student_507,19,81,BCA,student507@example.com
508,Student_508,20,,MIT-AI,student508@example.com
509,Student_509,29,80,BSc CSIT,student509@example.com
510,Student_510,26,89,BIT,student510@example.com
511,Student_511,19,59,MIT-AI,student511@example.com
512,Student_512,,45,BSc CSIT,student512@example.com
513,Student_513,29,50,BIT,student513@example.com
514,Student_514,21,92,MIT-AI,student514@example.com
515,Student_515,,56,BSc CSIT,student515@example.com
516,Student_516,,80,BCA,student516@example.com
517,Student_517,,96,BIT,student517@example.com
518,Student_518,26,42,BIT,student518@example.com
519,Student_519,26,55,BSc CSIT,student519@example.com
520,Student_520,,91,BIT,student520@example.com
521,Student_521,21,75,MIT-AI,student521@example.com
522,Student_522,,65,BIT,student522@example.com
523,Student_523,19,,BIT,student523@example.com
524,Student_524,25,93,MIT-AI,student524@example.com
525,Student_525,27,86,MIT-AI,student525@example.com
526,Student_526,,,BCA,student526@example.com
527,Student_527,,59,MIT-AI,student527@example.com
528,Student_528,,56,BIT,student528@example.com
529,Student_529,,90,BSc CSIT,student529@example.com
530,Student_530,24,59,BIT,student530@example.com
531,Student_531,21,55,BCA,student531@example.com
532,Student_532,28,95,BSc CSIT,student532@example.com
533,Student_533,25,90,BCA,student533@example.com
534,Student_534,26,92,BIT,student534@example.com
535,Student_535,29,88,MIT-AI,student535@example.com
536,Student_536,26,,BSc CSIT,student536@example.com
537,Student_537,20,57,BIT,student537@example.com
538,Student_538,,75,BSc CSIT,student538@example.com
539,Student_539,,92,BCA,student539@example.com
540,Student_540,,74,BIT,student540@example.com
541,Student_541,27,69,BSc CSIT,student541@example.com
542,Student_542,25,93,BIT,student542@example.com
543,Student_543,,99,BIT,student543@example.com
544,Student_544,23,,BCA,student544@example.com
545,Student_545,21,,BCA,student545@example.com
546,Student_546,,91,BCA,student546@example.com
547,Student_547,,71,MIT-AI,student547@example.com
548,Student_548,20,44,BSc CSIT,student548@example.com
549,Student_549,24,80,BCA,student549@example.com
550,Student_550,20,93,MIT-AI,student550@example.com
551,Student_551,25,62,MIT-AI,student551@example.com
552,Student_552,18,69,BSc CSIT,student552@example.com
553,Student_553,18,66,BSc CSIT,student553@example.com
554,Student_554,23,95,BCA,student554@example.com
555,Student_555,27,54,MIT-AI,student555@example.com
556,Student_556,,80,BSc CSIT,student556@example.com
557,Student_557,,53,BSc CSIT,student557@example.com
558,Student_558,,60,BSc CSIT,student558@example.com
559,Student_559,23,95,BSc CSIT,student559@example.com
560,Student_560,29,73,MIT-AI,student560@example.com
561,Student_561,22,65,BIT,student561@example.com
562,Student_562,,,BSc CSIT,student562@example.com
563,Student_563,,89,MIT-AI,student563@example.com
564,Student_564,,84,BSc CSIT,student564@example.com
565,Student_565,,70,MIT-AI,student565@example.com
566,Student_566,29,99,BCA,student566@example.com
567,Student_567,,92,BIT,student567@example.com
568,Student_568,,87,MIT-AI,student568@example.com
569,Student_569,20,45,MIT-AI,student569@example.com
570,Student_570,,87,MIT-AI,student570@example.com
571,Student_571,21,43,BSc CSIT,student571@example.com
572,Student_572,27,63,BCA,student572@example.com
573,Student_573,,81,BSc CSIT,student573@example.com
574,Student_574,29,70,BCA,student574@example.com
575,Student_575,19,58,BIT,student575@example.com
576,Student_576,18,50,BSc CSIT,student576@example.com
577,Student_577,,,MIT-AI,student577@example.com
578,Student_578,27,44,BIT,student578@example.com
579,Student_579,23,57,BSc CSIT,student579@example.com
580,Student_580,,42,BCA,student580@example.com
581,Student_581,,79,BSc CSIT,student581@example.com
582,Student_582,22,50,BSc CSIT,student582@example.com
583,Student_583,20,60,MIT-AI,student583@example.com
584,Student_584,,69,MIT-AI,student584@example.com
585,Student_585,22,,BIT,student585@example.com
586,Student_586,,92,MIT-AI,student586@example.com
587,Student_587,,64,BSc CSIT,student587@example.com
588,Student_588,,74,BSc CSIT,student588@example.com
589,Student_589,,51,BCA,student589@example.com
590,Student_590,,86,BSc CSIT,student590@example.com
591,Student_591,,65,BIT,student591@example.com
592,Student_592,26,94,BIT,student592@example.com
593,Student_593,,95,MIT-AI,student593@example.com
594,Student_594,,87,BCA,student594@example.com
595,Student_595,22,44,BSc CSIT,student595@example.com
596,Student_596,,58,MIT-AI,student596@example.com
597,Student_597,29,66,BSc CSIT,student597@example.com
598,Student_598,,77,BIT,student598@example.com
599,Student_599,,68,BIT,student599@example.com
600,Student_600,,51,BCA,student600@example.com
601,Student_601,,58,BSc CSIT,student601@example.com
602,Student_602,,48,BSc CSIT,student602@example.com
